 "Temperature of Station 49(rday, Tmean, Tmax, Tmin)"
 183  24.460  30.910  18.010
 184  24.795  32.280  17.310
 185  25.005  33.530  16.480
 186  24.035  33.870  14.200
 187  23.255  30.770  15.740
 188  24.835  32.960  16.710
 189  26.825  34.300  19.350
 190  25.385  33.500  17.270
 191  24.115  33.260  14.970
 192  25.135  31.580  18.690
 193  24.460  31.610  17.310
 194  20.430  29.390  11.470
 195  19.145  30.640   7.650
 196  21.880  31.940  11.820
 197  25.560  32.550  18.570
 198  23.595  31.310  15.880
 199  24.890  33.800  15.980
 200  23.985  34.130  13.840
 201  24.145  32.180  16.110
 202  25.385  33.730  17.040
 203  24.640  32.410  16.870
 204  23.865  30.600  17.130
 205  24.350  32.800  15.900
 206  19.305  23.440  15.170
 207  19.670  26.810  12.530
 208  18.395  27.890   8.900
 209  20.350  29.400  11.300
 210  21.850  28.360  15.340
 211  22.070  31.240  12.900
 212  22.390  32.670  12.110
 213  21.825  33.440  10.210
 214  24.710  31.550  17.870
 215  23.625  31.880  15.370
 216  22.400  30.910  13.890
 217  19.085  27.220  10.950
 218  19.590  26.680  12.500
 219  16.800  23.110  10.490
 220  18.550  27.690   9.410
 221  19.835  27.180  12.490
 222  18.415  27.580   9.250
 223  15.397  24.320   6.474
 224  14.043  22.210   5.876
 225  13.901  23.950   3.852
 226  16.310  26.540   6.080
 227  18.355  25.410  11.300
 228  18.290  26.880   9.700
 229  16.757  26.710   6.803
 230  17.665  27.380   7.950
 231  17.370  26.620   8.120
 232  18.505  25.140  11.870
 233  15.979  25.890   6.068
 234  17.355  25.970   8.740
 235  13.735  19.100   8.370
 236  11.912  17.210   6.615
 237  12.406  18.870   5.942
 238  13.695  21.750   5.640
 239  13.516  21.190   5.841
 240   9.921  19.270   0.572
 241   7.927  15.620   0.234
 242   8.225  20.110  -3.661
 243  11.579  22.860   0.298
 244  15.318  25.730   4.905
 245  13.120  21.280   4.960
 246  10.139  18.800   1.478
 247   9.703  18.670   0.736
 248  11.942  22.540   1.343
 249  13.710  19.040   8.380
 250  12.180  20.840   3.520
 251  12.288  23.010   1.565
 252  14.040  22.750   5.331
 253  12.523  22.460   2.586
 254   7.616  13.950   1.282
 255   4.530  14.400  -5.340
 256   5.220  13.290  -2.850
 257   2.751  11.050  -5.548
 258   4.113  13.700  -5.473
 259   4.314  13.290  -4.662
 260   4.835  11.880  -2.209
 261   6.792  16.840  -3.256
 262   6.577  14.870  -1.715
 263   5.085  16.150  -5.980
 264   6.953  18.450  -4.544
 265  12.185  19.910   4.460
 266  11.807  18.750   4.864
 267   6.411  15.510  -2.689
 268   2.990  13.680  -7.700
 269   6.676  15.980  -2.627
 270  -2.828   4.055  -9.710
 271  -2.775   7.300 -12.850
 272   1.510  12.600  -9.580
 273   5.179  12.540  -2.183
 274  -2.114   2.793  -7.020
 275  -2.935   5.960 -11.830
 276   1.765  12.060  -8.530
 277   6.189  16.410  -4.032
 278   7.466  18.120  -3.188
 279   8.610  18.990  -1.770
 280   8.872  18.450  -0.706
 281   7.821  16.630  -0.988
 282   5.852  14.610  -2.906
 283   3.935  13.140  -5.270
 284   6.453  16.630  -3.724
 285   8.898  19.410  -1.614
 286   8.026  15.890   0.162
 287   4.629  13.190  -3.931
