ncols         22
nrows         62
xllcorner     0.00000000
yllcorner     0.00000000
cellsize      0.5
nodata_value  -9999	
1.75	1.75	9.75	25	23.5	0	25	14.25	3	18.5	23.5	23.5	25	25	25	25	22	24.5	18.5	5.25	1.75	1.75
1.75	1.75	9.75	25	23.5	0	25	14.25	3	18.5	23.5	23.5	25	25	25	25	22	24.5	18.5	5.25	1.75	1.75
5.75	5.75	25	25	23	2.75	19	5.75	17.75	18.75	10	10	0	17.75	25	25	25	19.5	3.5	25	25	25
25	25	0	22.25	0	15.75	24.5	17.75	24	17	25	25	25	25	4.25	24.75	21.25	25	18.25	6	12.75	12.75
19.5	19.5	0.75	0	4.5	0	4.75	8.5	2.5	3.25	25	25	4.75	6.75	23	25	25	25	1.75	0	25	25
8	8	15.25	0	25	8	0.5	8	25	13.5	12	25	22.25	24	25	0	25	24.5	20	25	6.75	6.75
9.75	9.75	0	17	0.25	2	0	25	3	18.25	8.75	4.75	9.5	25	25	0.5	14	24.75	25	25	22.25	22.25
22.5	22.5	16	6	23.75	9	9.25	19.75	16	19.75	0	16	25	0	19.75	0.5	13	24.25	5.5	4.5	25	25
15.75	15.75	0	23	4.75	12	0	1.75	22	25	22.5	17	24	22	1.25	3	12	20.25	15.5	20.5	0.75	0.75
25	25	10.75	19	16	17.75	0	18.5	11.75	15.25	25	17.5	13.5	8.5	10.5	0.25	15.25	14	9.75	1.75	25	25
0.75	0.75	20.5	25	1.75	1	22.75	25	4.75	25	7.5	23.25	1.5	24.75	24	2.25	25	21.25	2.25	6.25	25	25
21	21	10.5	25	24.25	25	11	25	0	14.5	13.75	0	9.75	1.25	0	0.25	5	13.25	15.5	0	0	0
18.5	18.5	1.5	0	0	12.75	23.5	0	25	0	0.25	5.75	0	0	23.5	23	0.75	23.5	25	23.75	23.5	23.5
8.25	8.25	22.75	20.75	13.5	25	0	7.75	3	3.75	19.5	11.5	17	11.75	12.75	24.5	12.5	10.5	11.5	11.5	8.25	8.25
6.75	6.75	20.75	0.5	0	0.25	0	24.5	25	25	6	19.5	8	21.5	0	24.5	13	25	0.25	5	0.5	0.5
0	0	22.75	8	11.75	12.5	0	19.5	1.5	12.75	2.75	12.25	8.25	23.5	14.5	12.25	12.25	12.75	0	14.75	3.5	3.5
24.75	24.75	4.25	24.75	0	12	0	14.5	0.25	0	0	25	24.75	25	0	25	11.75	25	9.5	20.75	0	0
8.5	8.5	0	0	0	18.75	0	20	0	0	0	19.5	8	22	25	0.5	12.5	13	5	12	0	0
0	0	4.25	15.5	0	0.5	0	0	22	0	18.5	18.5	17	22	14.5	25	11.5	1	0.5	25	24.25	24.25
14	14	0	15.5	0	5.25	0	0	25	0	0	21.75	0	1.75	0	10.75	0	0.75	18	25	0	0
7	7	4	0	23	0	0	0.75	1.75	0	0	24.5	9.5	4.75	14.5	0	23	25	0	0	0	0
0	0	20.5	13	14.5	14.75	14.5	14.75	9	4.75	2.25	19.5	3.25	10.25	25	24.75	7.75	23	9.25	0	7.5	7.5
25	25	20.5	15	1.75	1.25	22.25	25	2.75	2.75	0	25	24	2.75	25	3.25	11.75	2.75	8.25	24.5	8.75	8.75
13.75	13.75	1.75	0	14.5	12	24.5	5.5	25	14.5	12	9.5	25	25	19.5	25	12	8.75	9.75	0	11.25	11.25
0	0	0	9.5	23	14.75	25	12.75	25	9.25	25	25	22.5	22	13.75	3.5	10.25	0	17	4.5	19	19
12	12	0	25	1.25	8.5	9	20	25	11	19.5	21.25	14	1	25	25	0	15.75	5.25	18	16.5	16.5
21.75	21.75	0	10.5	24.75	0	4.25	11.75	21.25	8	25	21.5	15.25	0	23.25	4.25	0	4	0	4.5	5.75	5.75
0	0	14.25	15.5	23	0	24.5	10	2.25	8	25	0	13.25	25	4.5	25	7.75	8.5	9.5	17.25	4.75	4.75
0	0	25	0	1.5	10.5	19.5	16.5	0.75	13.25	4.5	1.25	0	4.5	25	25	25	5.25	12.75	8.75	5.5	5.5
25	25	19.25	25	0	18	0.5	7.75	9.25	25	19.75	19.75	6	2.25	4	0	12.75	0	22.5	25	0	0
0	0	25	7	19	21.75	0	14.5	19	0	20.25	5.75	12.25	8.5	6	0	13	0	11.75	5	0	0
0	0	20.5	0	0	0	0	14	0	0	0	0	2	6	25	0	0	7.5	7	20.5	5.25	5.25
23	23	20.5	0	23.75	8.5	24.5	14.5	6	12.25	0	0	19	6	25	0.25	0	16.75	0	10	20	20
14.25	14.25	25	0	23.5	10.5	19.5	2.25	0	3.5	5.5	21	25	25	16.5	19.25	22.25	18.25	0	16.25	0	0
0	0	15.5	25	0	21	24.75	0	6.75	17	21	0	0	22.75	17.75	24.5	21.25	0	17.25	25	10.25	10.25
7	7	25	2.75	0.25	13	0.5	0	3.75	3	3.5	4.75	0	3	23.25	24.5	22.75	1.5	20.5	21.5	1.25	1.25
25	25	25	0	8	16.5	9	25	0	0	12.75	0	0	0	25	0	25	0	5.25	25	25	25
25	25	25	13.5	19.75	21.5	3.5	16	25	21.5	21.5	0	23.75	3	2	21.5	13.75	24.75	25	3	3.5	3.5
20.75	20.75	1.75	21.5	23	0	0	15.5	0	6.25	0	9.5	0	11.25	25	15.5	20.5	9.5	15.25	9.5	6.75	6.75
7	7	6.5	24	0	0	0.5	12.75	25	22.25	19.5	2.75	7.25	19.5	9.5	0	25	23.25	15.5	21	0.75	0.75
7	7	22.5	21.25	24	25	14.75	12.75	10.25	0	25	0	0	22	4.25	0.5	0	0	0	0	17.5	17.5
25	25	4	8.75	25	1.75	0.5	10.5	0	0	5.5	23.5	0	23	0.75	22.5	24	0	0	20.5	6.25	6.25
22	22	20.5	25	10.25	5.75	14	14	25	25	22.5	8.5	21.5	23.5	6.25	0	6.75	0	19.75	0	0	0
7	7	24.25	1	25	25	24	0.5	25	1	0	0.75	0	1	24.5	24.5	0.5	0	1	19.75	17.75	17.75
25	25	0	15.5	0	12	0.25	14.5	23.25	0	9.25	0	8	1.5	5.5	25	7	24	12.75	15.25	3.5	3.5
0.25	0.25	0	15.5	0	12	0.75	24.75	22	16.75	0	0	25	3	0	0.75	25	2	0	20.75	18	18
0	0	2.25	12.25	13.25	5.75	13	25	14	25	2.75	0	12.25	0	7.25	0	0	25	25	12.75	0	0
6.75	6.75	0.5	0.25	0	13	25	10.25	22	17	25	24.75	25	0	24.5	24.5	0.25	0	15.5	24.5	24.5	24.5
