ncols         22
nrows         62
xllcorner     0.00000000
yllcorner     0.00000000
cellsize      0.5
nodata_value  -9999	
3.50	3.50	19.50	50.00	47.00	0.00	50.00	28.50	6.00	37.00	47.00	47.00	50.00	50.00	50.00	50.00	44.00	49.00	37.00	10.50	3.50	3.50
3.50	3.50	19.50	50.00	47.00	0.00	50.00	28.50	6.00	37.00	47.00	47.00	50.00	50.00	50.00	50.00	44.00	49.00	37.00	10.50	3.50	3.50
11.50	11.50	50.00	50.00	46.00	5.50	38.00	11.50	35.50	37.50	20.00	20.00	0.00	35.50	50.00	50.00	50.00	39.00	7.00	50.00	50.00	50.00
50.00	50.00	0.00	44.50	0.00	31.50	49.00	35.50	48.00	34.00	50.00	50.00	50.00	50.00	8.50	49.50	42.50	50.00	36.50	12.00	25.50	25.50
39.00	39.00	1.50	0.00	9.00	0.00	9.50	17.00	5.00	6.50	50.00	50.00	9.50	13.50	46.00	50.00	50.00	50.00	3.50	0.00	50.00	50.00
16.00	16.00	30.50	0.00	50.00	16.00	1.00	16.00	50.00	27.00	24.00	50.00	44.50	48.00	50.00	0.00	50.00	49.00	40.00	50.00	13.50	13.50
19.50	19.50	0.00	34.00	0.50	4.00	0.00	50.00	6.00	36.50	17.50	9.50	19.00	50.00	50.00	1.00	28.00	49.50	50.00	50.00	44.50	44.50
45.00	45.00	32.00	12.00	47.50	18.00	18.50	39.50	32.00	39.50	0.00	32.00	50.00	0.00	39.50	1.00	26.00	48.50	11.00	9.00	50.00	50.00
31.50	31.50	0.00	46.00	9.50	24.00	0.00	3.50	44.00	50.00	45.00	34.00	48.00	44.00	2.50	6.00	24.00	40.50	31.00	41.00	1.50	1.50
50.00	50.00	21.50	38.00	32.00	35.50	0.00	37.00	23.50	30.50	50.00	35.00	27.00	17.00	21.00	0.50	30.50	28.00	19.50	3.50	50.00	50.00
1.50	1.50	41.00	50.00	3.50	2.00	45.50	50.00	9.50	50.00	15.00	46.50	3.00	49.50	48.00	4.50	50.00	42.50	4.50	12.50	50.00	50.00
42.00	42.00	21.00	50.00	48.50	50.00	22.00	50.00	0.00	29.00	27.50	0.00	19.50	2.50	0.00	0.50	10.00	26.50	31.00	0.00	0.00	0.00
37.00	37.00	3.00	0.00	0.00	25.50	47.00	0.00	50.00	0.00	0.50	11.50	0.00	0.00	47.00	46.00	1.50	47.00	50.00	47.50	47.00	47.00
16.50	16.50	45.50	41.50	27.00	50.00	0.00	15.50	6.00	7.50	39.00	23.00	34.00	23.50	25.50	49.00	25.00	21.00	23.00	23.00	16.50	16.50
13.50	13.50	41.50	1.00	0.00	0.50	0.00	49.00	50.00	50.00	12.00	39.00	16.00	43.00	0.00	49.00	26.00	50.00	0.50	10.00	1.00	1.00
0.00	0.00	45.50	16.00	23.50	25.00	0.00	39.00	3.00	25.50	5.50	24.50	16.50	47.00	29.00	24.50	24.50	25.50	0.00	29.50	7.00	7.00
